Age Group,Gender,City,Occupation,Income Range,Shopping Frequency,Spend Per Transaction,Preferred Categories,Payment Methods,Purchase Factor,Willing to Try New Platform,Expected Monthly Spend,Subscribed to Loyalty Program,Loyalty Engagement Factors,Referral Likelihood,Offer Preferences,Preferred Shopping Time,Preferred Shopping Day,Experienced Delivery Issues,Delivery Issue Types,Willing to Pay for Fast Delivery,Cluster
1,1,4,2,3,3,1160,Home & Kitchen;Toys,UPI;COD;Card,1,2,2789,0,Cashback;Exclusive Deals,3,Surprise Gifts;Flat Discounts,3,0,0,Payment Issues;None;Poor Packaging,2,1
0,0,2,0,0,3,1198,Beauty & Wellness,COD,0,2,2847,1,Exclusive Deals;Early Access,3,Surprise Gifts;Flat Discounts,2,0,1,Poor Packaging;Delays;None,0,0
1,0,2,3,0,2,1074,Electronics,Card,2,2,2247,0,Recommendations;Cashback;Early Access,2,Free Delivery;Flat Discounts,3,0,1,Wrong Item,1,1
1,0,3,4,2,3,2289,Groceries;Electronics,Wallet,0,2,4334,1,Early Access;Recommendations,3,BOGO;Surprise Gifts,1,1,0,Delays,0,0
0,0,3,0,2,1,847,Clothing;Toys,Wallet;Card,0,0,2554,1,Early Access,3,Flat Discounts;Surprise Gifts,0,1,0,Delays;Poor Packaging;Payment Issues,2,3
0,0,4,4,1,3,1613,Electronics;Groceries;Beauty & Wellness,UPI;Wallet,3,1,3829,0,Cashback;Exclusive Deals,0,BOGO;Flat Discounts;Surprise Gifts,3,1,0,Payment Issues;Wrong Item,2,1
3,0,3,4,0,1,1440,Toys;Clothing;Home & Kitchen,UPI;Card;Wallet,3,2,1930,0,Early Access,1,BOGO;Flat Discounts,3,0,0,Wrong Item;Delays;Poor Packaging,0,3
0,0,2,4,0,0,2221,Clothing,UPI;COD;Wallet,3,2,2336,1,Early Access;Cashback,2,BOGO,3,0,0,Poor Packaging;None;Delays,1,3
0,0,0,3,1,3,1261,Electronics;Clothing,UPI;Wallet;Card,2,1,2206,0,Early Access;Cashback;Recommendations,2,BOGO,3,0,0,None,1,1
1,0,1,4,0,1,1849,Groceries;Beauty & Wellness;Clothing,COD;Card,2,1,2817,0,Cashback;Recommendations,3,BOGO;Free Delivery,1,0,0,Delays;None,2,3
3,0,0,0,0,2,897,Clothing;Electronics,Card,2,1,1564,0,Recommendations,0,Free Delivery,0,1,1,Delays;Poor Packaging;Wrong Item,2,1
0,0,0,4,0,2,2964,Electronics;Beauty & Wellness,Card,0,1,5243,0,Cashback;Exclusive Deals;Recommendations,3,Free Delivery,0,0,0,Delays;Wrong Item;Poor Packaging,1,1
1,1,2,3,1,1,1456,Clothing,COD;UPI;Wallet,3,2,3575,0,Early Access,3,Free Delivery;Surprise Gifts,0,1,0,Poor Packaging,2,3
2,0,0,3,1,1,1605,Groceries;Toys,UPI;Card,1,1,4025,0,Early Access;Exclusive Deals,2,Free Delivery;BOGO;Surprise Gifts,2,0,1,Wrong Item;None,0,3
0,0,4,4,0,3,2592,Clothing,Card;COD,0,1,4338,1,Cashback,3,Free Delivery;BOGO;Flat Discounts,2,0,1,Payment Issues,0,0
2,1,5,2,0,3,1247,Toys,Wallet;COD;Card,2,2,1703,0,Exclusive Deals;Cashback;Early Access,3,Free Delivery;Flat Discounts,1,0,1,Poor Packaging;Payment Issues,2,1
1,0,3,4,0,3,2600,Beauty & Wellness,Wallet;Card;COD,1,1,4356,0,Recommendations;Early Access,0,BOGO;Flat Discounts,1,0,0,Wrong Item,1,1
1,1,5,4,1,3,1353,Groceries;Electronics,COD;UPI;Card,1,2,3733,1,Cashback;Recommendations;Exclusive Deals,2,Flat Discounts;Surprise Gifts;BOGO,0,1,0,Wrong Item;Poor Packaging;Payment Issues,1,0
1,1,1,4,0,3,2003,Groceries;Home & Kitchen,COD,3,2,2138,1,Cashback,1,Flat Discounts,0,0,0,Delays,2,0
1,0,3,4,0,3,1256,Toys;Home & Kitchen,Card;COD,1,2,2383,1,Recommendations;Cashback,0,Flat Discounts;Free Delivery,1,1,0,Delays;None;Poor Packaging,2,0
0,1,0,1,2,3,786,Electronics;Toys,Card;Wallet,2,2,2977,0,Early Access,0,Surprise Gifts;Free Delivery;Flat Discounts,1,1,0,Wrong Item,1,1
2,0,1,0,0,1,1848,Clothing;Home & Kitchen,Wallet,3,2,2061,0,Early Access,0,BOGO;Flat Discounts,0,0,0,Payment Issues,1,3
1,0,3,3,0,3,1983,Electronics;Toys,UPI;COD,1,2,3855,0,Exclusive Deals;Recommendations;Cashback,2,Surprise Gifts,0,1,0,None;Delays,1,1
0,0,4,4,1,3,810,Beauty & Wellness;Groceries;Home & Kitchen,COD;UPI;Card,3,2,2107,1,Early Access,3,Surprise Gifts;BOGO;Flat Discounts,2,0,0,Wrong Item;Poor Packaging,1,0
0,1,4,3,0,3,1415,Home & Kitchen;Toys,Card;COD,1,2,2793,0,Early Access;Exclusive Deals,1,BOGO;Flat Discounts,1,0,0,Wrong Item,0,1
1,1,4,4,0,1,2320,Beauty & Wellness,Card;COD;UPI,0,2,2885,0,Cashback;Exclusive Deals;Recommendations,2,Flat Discounts,0,1,0,Poor Packaging;Payment Issues;Wrong Item,0,3
1,0,4,4,1,1,1960,Clothing;Groceries;Electronics,Card,0,2,3547,1,Early Access,3,BOGO;Flat Discounts,1,1,0,None;Wrong Item;Delays,1,3
4,2,0,3,1,1,1362,Beauty & Wellness;Electronics;Clothing,COD,2,1,2308,0,Cashback,0,Free Delivery;Flat Discounts;BOGO,0,0,0,Poor Packaging;None,0,3
1,0,5,4,0,3,1241,Beauty & Wellness;Electronics,Wallet;COD;UPI,0,2,1842,0,Cashback;Recommendations;Exclusive Deals,2,Surprise Gifts;Free Delivery,3,0,0,None,2,1
0,1,3,4,0,3,2768,Groceries;Home & Kitchen;Toys,COD;Card,0,2,3308,0,Early Access;Exclusive Deals;Cashback,3,Free Delivery;Flat Discounts,0,0,0,Wrong Item,0,1
1,0,0,2,0,3,731,Electronics;Groceries;Home & Kitchen,UPI;COD;Card,0,0,2947,0,Early Access;Recommendations;Cashback,1,BOGO;Free Delivery;Surprise Gifts,0,0,0,Payment Issues;Delays;Poor Packaging,1,1
0,0,4,2,3,3,1564,Beauty & Wellness;Groceries;Toys,Card;Wallet,1,1,1989,0,Cashback,1,Flat Discounts,3,0,0,Wrong Item;Delays,0,1
2,0,5,3,2,3,721,Groceries;Home & Kitchen;Clothing,UPI,1,0,2586,1,Early Access;Recommendations,3,Surprise Gifts;Flat Discounts,1,1,0,None;Payment Issues;Delays,1,0
1,1,1,0,3,0,2388,Beauty & Wellness,Wallet;UPI;Card,3,2,2554,0,Cashback;Recommendations,2,Surprise Gifts,0,0,0,Payment Issues,2,3
3,0,1,4,1,3,1595,Beauty & Wellness;Clothing;Groceries,COD;Wallet,1,2,1998,1,Recommendations,0,Surprise Gifts,1,0,1,Poor Packaging;Payment Issues,1,0
0,0,1,4,0,2,1706,Home & Kitchen;Electronics,Card,0,1,2777,1,Cashback;Recommendations;Exclusive Deals,3,Surprise Gifts,3,0,1,Wrong Item,2,0
1,0,4,0,2,2,3261,Groceries;Clothing,Card,1,2,3844,1,Cashback,0,Free Delivery,3,0,0,Delays;Wrong Item,1,0
0,1,1,2,0,3,1243,Home & Kitchen;Toys,Card;UPI,2,2,2271,0,Recommendations;Cashback,1,Surprise Gifts;Free Delivery;Flat Discounts,1,0,0,None;Payment Issues;Wrong Item,1,1
3,0,2,2,0,0,2649,Groceries;Beauty & Wellness;Home & Kitchen,Card;UPI;COD,3,2,4189,1,Recommendations;Early Access;Exclusive Deals,3,Flat Discounts,1,0,0,Delays;None;Payment Issues,0,3
2,0,3,4,0,3,1365,Toys;Clothing,Card,3,1,1613,1,Early Access;Cashback,1,Flat Discounts,2,1,0,Payment Issues;Delays,1,0
0,1,3,4,1,3,1459,Beauty & Wellness;Clothing;Electronics,UPI;Wallet;Card,1,2,3854,1,Cashback;Exclusive Deals;Recommendations,0,Surprise Gifts,2,0,0,Payment Issues,1,0
1,0,4,0,3,2,3182,Home & Kitchen;Toys,COD,0,0,4406,0,Recommendations,0,Flat Discounts,0,0,1,Payment Issues;Wrong Item,2,1
2,0,2,4,0,3,1503,Electronics;Clothing,Wallet;Card,3,0,1698,0,Recommendations,3,BOGO,0,1,1,Delays;Wrong Item,0,1
1,1,0,4,1,1,775,Groceries;Clothing;Home & Kitchen,UPI;Wallet,2,2,1156,0,Recommendations;Exclusive Deals,3,Free Delivery;BOGO,1,0,0,None,0,3
1,1,0,4,2,3,1769,Electronics,Card;COD,2,1,4238,0,Exclusive Deals,3,Free Delivery,2,0,1,Payment Issues;Delays;Poor Packaging,0,1
0,0,1,4,0,2,5536,Clothing,COD;UPI,3,1,6164,0,Early Access,1,BOGO;Flat Discounts;Surprise Gifts,1,0,0,Delays;None,2,2
0,1,5,4,2,3,1820,Home & Kitchen;Electronics,Card;UPI;COD,0,1,4230,1,Recommendations;Cashback,0,BOGO;Surprise Gifts,1,0,0,Delays;Poor Packaging,1,0
3,0,0,3,1,1,1519,Beauty & Wellness;Home & Kitchen,COD;Wallet,0,2,3261,0,Early Access;Exclusive Deals;Recommendations,0,Surprise Gifts;Flat Discounts,1,0,0,None;Delays;Payment Issues,2,3
3,1,5,2,3,3,2929,Toys,Card;UPI,1,1,3608,1,Cashback;Recommendations,1,BOGO,0,0,0,Wrong Item;Payment Issues,1,0
1,0,3,3,1,1,1934,Beauty & Wellness;Toys;Home & Kitchen,UPI;COD;Card,1,2,3697,1,Cashback;Exclusive Deals,3,Surprise Gifts,1,1,0,Delays;None;Poor Packaging,2,3
1,1,5,4,2,3,955,Clothing,Card;Wallet,3,0,3396,1,Recommendations;Cashback,2,BOGO;Flat Discounts,1,1,0,None;Wrong Item,1,0
1,0,3,4,0,3,1674,Toys;Electronics;Home & Kitchen,Card;COD;Wallet,1,2,3405,0,Early Access;Recommendations,3,Flat Discounts,1,0,0,Payment Issues;Poor Packaging;Wrong Item,1,1
2,2,2,3,0,2,1120,Clothing;Toys,Card,1,2,2029,0,Exclusive Deals;Early Access;Cashback,2,Free Delivery,3,0,0,Wrong Item;Delays,2,1
3,0,2,3,0,2,1451,Home & Kitchen;Beauty & Wellness;Electronics,Card,1,1,2243,0,Cashback;Exclusive Deals,2,Surprise Gifts;BOGO,0,0,1,Delays,1,1
3,0,4,3,1,1,1053,Clothing;Electronics;Beauty & Wellness,Wallet;UPI,2,1,1387,1,Cashback;Exclusive Deals;Early Access,1,Free Delivery;Surprise Gifts;BOGO,3,0,1,None,0,3
2,1,4,2,1,1,2864,Beauty & Wellness,UPI,1,2,3915,0,Recommendations;Cashback,0,Surprise Gifts;Flat Discounts;BOGO,0,0,1,Poor Packaging;Delays;Payment Issues,2,3
1,0,1,4,1,1,1185,Home & Kitchen;Toys;Groceries,COD,3,2,3139,1,Exclusive Deals;Early Access;Cashback,0,Flat Discounts,2,0,0,Delays;Poor Packaging,0,3
0,1,0,2,0,3,2012,Home & Kitchen;Toys,Wallet,0,2,3472,1,Recommendations;Cashback,0,BOGO;Flat Discounts,3,0,0,Wrong Item;Poor Packaging,2,0
0,1,1,4,0,3,1405,Home & Kitchen;Beauty & Wellness,COD,1,0,2536,1,Exclusive Deals;Early Access,0,Flat Discounts;Free Delivery;Surprise Gifts,0,1,0,Poor Packaging;Wrong Item;Delays,2,0
3,1,3,4,2,3,904,Toys,Wallet;UPI;Card,0,1,2470,0,Recommendations;Exclusive Deals;Early Access,1,Surprise Gifts;Flat Discounts;Free Delivery,0,0,0,Delays;Payment Issues,2,1
1,1,1,4,0,1,1718,Beauty & Wellness;Groceries,Wallet;Card;COD,1,1,3782,1,Exclusive Deals;Cashback;Early Access,2,BOGO;Free Delivery;Surprise Gifts,1,1,0,Wrong Item;Payment Issues,0,3
4,0,5,4,0,3,1840,Toys,UPI,3,2,2478,0,Recommendations;Cashback;Exclusive Deals,0,Surprise Gifts;Flat Discounts,1,1,0,Delays;Wrong Item,1,1
0,0,3,0,1,3,1935,Home & Kitchen;Beauty & Wellness,Card;UPI;COD,2,2,2854,0,Cashback;Exclusive Deals,2,Free Delivery;Flat Discounts;BOGO,0,0,0,Delays,0,1
1,1,4,4,1,3,100,Clothing;Groceries;Beauty & Wellness,Wallet;UPI,3,1,1881,0,Early Access,1,Flat Discounts;BOGO,3,1,0,Delays;Wrong Item;Poor Packaging,1,1
4,1,2,4,2,1,859,Toys,Card;Wallet,2,1,1230,0,Cashback;Early Access,3,Surprise Gifts;Flat Discounts;Free Delivery,0,1,0,None;Delays;Poor Packaging,2,3
0,2,4,2,0,3,2174,Clothing;Groceries,Card;UPI,1,2,3302,1,Recommendations,1,Flat Discounts;Free Delivery;BOGO,1,0,0,Wrong Item;Delays;Poor Packaging,0,0
1,1,0,2,0,3,1045,Groceries;Home & Kitchen,Wallet,1,0,3067,1,Recommendations;Early Access,0,BOGO;Surprise Gifts,0,0,0,Wrong Item,2,0
2,1,3,2,0,3,1721,Clothing,Wallet;COD;Card,2,2,3063,0,Cashback;Recommendations;Early Access,3,Free Delivery,2,0,0,Wrong Item;Payment Issues,0,1
1,1,3,4,1,3,845,Clothing,Wallet;COD,3,2,2086,0,Cashback,1,Free Delivery;Surprise Gifts;BOGO,0,1,1,Payment Issues,2,1
0,0,5,0,2,3,2038,Toys;Clothing,UPI;Wallet,3,2,2730,0,Exclusive Deals,1,Flat Discounts;Surprise Gifts;Free Delivery,3,0,0,None;Wrong Item,2,1
2,0,0,4,0,1,2158,Clothing;Electronics;Beauty & Wellness,UPI;Card;Wallet,2,2,3863,0,Early Access;Exclusive Deals,2,BOGO;Flat Discounts;Surprise Gifts,1,0,0,Wrong Item;Poor Packaging,0,3
0,1,2,4,0,1,2039,Groceries;Home & Kitchen,Card;COD,1,2,2253,1,Recommendations;Cashback;Early Access,1,Free Delivery,0,0,0,Delays;None,0,3
1,1,3,4,1,1,2219,Beauty & Wellness;Electronics,Wallet;COD;Card,2,2,4629,1,Early Access;Exclusive Deals;Recommendations,3,Surprise Gifts;BOGO,1,0,0,Payment Issues,2,3
2,0,3,4,0,3,2538,Beauty & Wellness,Card;Wallet,1,2,4315,0,Early Access;Cashback,1,Flat Discounts;Free Delivery,0,0,0,Wrong Item;Poor Packaging;Payment Issues,0,1
1,0,5,3,0,1,895,Home & Kitchen;Electronics,Wallet;Card,2,1,2440,1,Cashback;Early Access;Exclusive Deals,0,Surprise Gifts,1,1,1,Payment Issues;Wrong Item;Poor Packaging,2,3
2,1,1,4,0,3,1126,Beauty & Wellness;Toys;Electronics,UPI,1,2,1432,1,Early Access,2,BOGO,1,0,0,Payment Issues;None;Poor Packaging,0,0
1,0,2,2,1,3,2138,Groceries;Beauty & Wellness,COD;Card,2,2,4588,0,Early Access,3,Surprise Gifts;Flat Discounts;Free Delivery,2,1,1,Wrong Item;Payment Issues,1,1
1,1,4,4,3,1,2278,Home & Kitchen;Toys,Wallet,0,2,2489,1,Cashback;Recommendations;Exclusive Deals,3,Surprise Gifts;BOGO;Flat Discounts,0,1,0,None;Delays,2,3
0,1,0,3,0,3,1195,Clothing;Beauty & Wellness;Toys,Card,1,2,2735,0,Early Access,1,BOGO,0,0,1,Payment Issues,2,1
1,0,3,3,1,3,1153,Beauty & Wellness;Toys,COD,3,1,3135,0,Exclusive Deals,0,BOGO;Free Delivery,0,0,0,None;Poor Packaging,2,1
0,1,3,2,3,1,1208,Beauty & Wellness,Wallet;UPI;Card,2,2,1492,0,Recommendations;Early Access,2,Free Delivery,2,1,0,Delays;Wrong Item,2,3
0,0,4,4,3,3,636,Toys;Beauty & Wellness,Card;Wallet;COD,3,1,2500,1,Recommendations;Exclusive Deals,3,Surprise Gifts;Flat Discounts;Free Delivery,2,1,1,None,2,0
3,1,2,4,1,1,837,Clothing;Beauty & Wellness;Toys,COD;Card;Wallet,2,1,1837,1,Recommendations;Early Access,2,BOGO,3,0,1,Payment Issues,1,3
1,1,1,1,1,0,851,Home & Kitchen;Electronics;Beauty & Wellness,UPI;Card,3,2,1171,0,Exclusive Deals,1,Flat Discounts;Free Delivery;Surprise Gifts,3,0,0,None;Wrong Item;Delays,0,3
3,2,3,1,0,1,1423,Home & Kitchen;Electronics;Toys,Wallet;UPI,3,2,2990,1,Exclusive Deals;Cashback,0,Surprise Gifts,0,0,0,Wrong Item;Delays,2,3
1,1,2,4,1,3,1762,Beauty & Wellness;Clothing;Toys,Wallet;UPI,2,2,2955,1,Recommendations;Exclusive Deals;Early Access,1,Flat Discounts;BOGO,3,1,0,Poor Packaging,1,0
2,0,4,4,0,3,5412,Electronics,Wallet;Card,2,2,7524,1,Early Access,2,BOGO,0,1,0,Poor Packaging;Delays;None,1,2
1,1,5,0,1,1,1294,Beauty & Wellness;Groceries,UPI,3,1,1994,1,Exclusive Deals;Cashback;Early Access,1,Free Delivery,3,0,0,Delays;Payment Issues,0,3
1,1,1,4,0,3,1309,Beauty & Wellness,Card,3,2,2569,1,Cashback,2,Surprise Gifts,1,1,1,None;Poor Packaging,1,0
1,1,0,3,1,3,1674,Groceries;Beauty & Wellness,Card,3,2,2277,0,Recommendations,3,BOGO,2,0,0,Delays;None,1,1
0,0,3,2,1,3,702,Beauty & Wellness;Groceries,COD,1,2,2980,1,Recommendations;Cashback;Early Access,3,BOGO;Free Delivery;Flat Discounts,2,1,1,None;Poor Packaging,1,0
2,1,2,4,2,3,2175,Beauty & Wellness,Wallet;UPI,1,2,2492,1,Recommendations,1,Surprise Gifts,0,0,0,Delays;Poor Packaging,2,0
1,0,5,4,1,3,2371,Toys,Wallet,0,2,4689,0,Recommendations;Early Access,3,Flat Discounts;BOGO,1,0,0,Poor Packaging;Delays,2,1
4,1,0,4,0,3,1224,Electronics;Groceries;Clothing,COD,1,2,2822,0,Recommendations,2,BOGO;Free Delivery;Surprise Gifts,1,0,0,Wrong Item,1,1
1,0,2,3,1,2,1360,Electronics;Toys;Home & Kitchen,COD;UPI,1,2,2071,1,Recommendations;Early Access;Exclusive Deals,3,BOGO;Free Delivery,3,0,1,Wrong Item;Poor Packaging,2,0
0,1,2,3,0,0,2345,Clothing,Card,2,2,3597,1,Early Access;Cashback,0,BOGO;Flat Discounts;Free Delivery,1,0,0,Delays;Payment Issues;None,1,3
3,0,0,0,0,3,1526,Home & Kitchen,Wallet,0,1,1682,0,Recommendations,0,BOGO;Free Delivery,0,0,1,Payment Issues;Delays;None,2,1
3,0,5,3,3,3,1952,Clothing,Card;COD;UPI,0,0,3256,0,Cashback;Early Access;Exclusive Deals,1,BOGO,0,0,1,Payment Issues;Wrong Item,1,1
3,0,4,4,0,3,1544,Beauty & Wellness,Card,1,2,1889,0,Exclusive Deals;Early Access;Recommendations,1,Flat Discounts;BOGO,0,0,1,Payment Issues,2,1
1,0,5,4,1,2,2533,Electronics;Home & Kitchen;Clothing,UPI;COD;Wallet,2,2,2776,0,Early Access;Cashback,1,Flat Discounts;BOGO,3,0,0,None;Poor Packaging;Wrong Item,0,1
4,0,1,3,0,3,1894,Toys;Groceries,Card;Wallet;UPI,2,0,2361,1,Recommendations,1,BOGO,1,1,0,Delays;None;Payment Issues,0,0
3,0,3,2,0,2,1928,Clothing;Home & Kitchen,UPI;Card,0,2,3510,0,Early Access;Cashback;Exclusive Deals,2,BOGO;Surprise Gifts,0,1,0,Payment Issues;Poor Packaging,2,1
1,1,0,4,0,3,1939,Toys;Electronics;Clothing,COD;Wallet,2,2,4304,1,Cashback;Recommendations;Exclusive Deals,2,Flat Discounts;Free Delivery,0,0,1,None;Payment Issues,2,0
3,1,4,4,0,1,1266,Electronics;Home & Kitchen,UPI;Card;COD,3,2,1981,0,Cashback;Early Access,0,BOGO;Surprise Gifts;Free Delivery,3,0,0,Poor Packaging,1,3
3,0,0,4,0,3,1322,Groceries,UPI,1,1,3303,0,Cashback;Recommendations;Exclusive Deals,2,Flat Discounts;Free Delivery;BOGO,1,0,0,Wrong Item;None,2,1
2,0,0,4,2,1,2061,Toys;Beauty & Wellness;Home & Kitchen,Card,3,2,3749,0,Cashback;Early Access;Exclusive Deals,3,Surprise Gifts,0,1,1,Payment Issues,2,3
1,0,5,3,0,3,1675,Clothing;Electronics;Toys,UPI,0,0,2473,1,Cashback;Exclusive Deals;Recommendations,0,BOGO;Flat Discounts;Free Delivery,1,1,1,Payment Issues;Delays;Poor Packaging,2,0
1,1,3,0,2,3,893,Toys,UPI,0,1,1868,1,Recommendations;Early Access,1,Flat Discounts;Free Delivery;BOGO,1,0,0,Payment Issues;None;Poor Packaging,0,0
2,1,1,2,3,3,2723,Toys;Home & Kitchen,Wallet;COD,2,1,4508,0,Early Access;Exclusive Deals,1,Surprise Gifts;Flat Discounts;BOGO,0,1,0,Delays;Payment Issues,0,1
1,1,2,4,3,3,2186,Home & Kitchen,Card;Wallet;UPI,2,1,3230,0,Early Access;Exclusive Deals,2,Flat Discounts,3,1,0,Payment Issues;None,1,1
0,0,2,4,0,2,1622,Groceries,Card,0,2,2644,0,Cashback,0,Free Delivery,1,1,0,None;Delays;Poor Packaging,1,1
1,1,0,0,1,3,1435,Beauty & Wellness;Groceries;Electronics,UPI,0,2,3281,1,Early Access;Recommendations;Exclusive Deals,2,Flat Discounts;BOGO,3,0,1,None;Payment Issues,0,0
3,1,3,1,0,3,1719,Toys;Groceries;Electronics,COD;Card;Wallet,3,0,1843,1,Recommendations,2,Free Delivery;BOGO,3,0,1,Wrong Item;Poor Packaging,0,0
2,0,4,4,1,1,1910,Beauty & Wellness;Electronics,Card;COD,3,0,3697,0,Exclusive Deals;Early Access;Cashback,2,Flat Discounts;Surprise Gifts,1,0,0,Delays;Poor Packaging,0,3
1,1,5,4,1,3,380,Groceries;Beauty & Wellness,Card;COD,2,2,2039,1,Early Access;Recommendations;Cashback,0,BOGO,0,0,0,Poor Packaging,2,0
0,0,3,4,3,2,2867,Clothing;Beauty & Wellness;Toys,COD;Wallet;UPI,3,0,4050,0,Recommendations;Cashback,1,Free Delivery;Surprise Gifts;Flat Discounts,0,0,0,Payment Issues,2,1
1,1,3,0,0,1,1126,Home & Kitchen;Groceries;Beauty & Wellness,Card;UPI,2,2,1659,0,Cashback,3,BOGO,0,0,0,None;Wrong Item,1,3
3,0,5,1,1,3,1598,Beauty & Wellness;Home & Kitchen,COD;Card;UPI,2,2,2787,0,Early Access;Cashback,1,Surprise Gifts,0,0,0,Delays;None,1,1
0,1,0,3,0,1,1620,Groceries;Clothing,UPI,1,2,3671,0,Early Access;Exclusive Deals;Recommendations,0,Surprise Gifts;BOGO,1,0,1,None;Payment Issues,2,3
1,1,3,4,3,0,2798,Groceries,Wallet;UPI,2,2,5051,0,Cashback,1,Flat Discounts;Surprise Gifts;BOGO,1,0,0,Poor Packaging,2,3
2,1,2,2,2,3,1547,Clothing;Beauty & Wellness,Card,3,2,1742,1,Exclusive Deals;Early Access;Cashback,1,Free Delivery;Surprise Gifts;Flat Discounts,1,0,0,Payment Issues,0,0
2,1,5,1,1,3,2553,Home & Kitchen;Beauty & Wellness;Groceries,UPI;Wallet;COD,0,2,2820,0,Recommendations;Exclusive Deals;Cashback,3,Flat Discounts;Surprise Gifts;BOGO,1,1,1,Payment Issues;Poor Packaging,0,1
2,1,4,2,1,3,1844,Beauty & Wellness,COD;Wallet,0,2,4033,1,Exclusive Deals;Recommendations,1,Free Delivery;Surprise Gifts;Flat Discounts,0,1,0,Wrong Item,2,0
2,1,1,0,1,1,1022,Clothing;Beauty & Wellness,Card;COD,3,2,3024,0,Cashback,1,Free Delivery,0,0,0,Wrong Item;None;Payment Issues,0,3
1,0,0,4,2,2,1680,Groceries,COD;Card,0,2,3931,1,Cashback;Recommendations,1,Surprise Gifts,0,0,1,Delays;Wrong Item;None,1,0
1,1,5,4,3,3,1528,Groceries;Toys,UPI;Wallet,2,0,3496,0,Exclusive Deals;Recommendations;Early Access,2,Flat Discounts;Free Delivery,0,0,0,Delays;Wrong Item;Payment Issues,0,1
2,0,1,4,0,3,949,Toys;Groceries;Electronics,UPI;Wallet;Card,0,2,3047,1,Exclusive Deals;Early Access,0,BOGO;Surprise Gifts;Free Delivery,2,0,0,Poor Packaging;Payment Issues;Delays,1,0
2,0,1,3,1,2,1814,Clothing;Electronics;Toys,Wallet;UPI,3,2,4243,1,Exclusive Deals;Cashback,0,BOGO;Flat Discounts;Surprise Gifts,1,1,1,Wrong Item;Delays;Payment Issues,2,0
2,0,4,4,0,3,1613,Beauty & Wellness;Toys;Clothing,COD;UPI;Wallet,0,2,2846,0,Early Access;Cashback;Exclusive Deals,3,Surprise Gifts;BOGO;Free Delivery,3,0,0,Payment Issues;Delays,1,1
3,1,3,0,0,3,1933,Beauty & Wellness;Toys;Home & Kitchen,Wallet;Card,2,2,4043,1,Cashback,2,Flat Discounts,3,0,0,Payment Issues;Delays;None,1,0
1,1,4,3,0,3,1716,Electronics,Wallet,2,1,2564,0,Recommendations,2,Surprise Gifts;Flat Discounts,3,1,0,Payment Issues,1,1
1,1,3,0,0,2,1209,Clothing;Beauty & Wellness,UPI;Card;COD,3,2,3200,0,Recommendations;Exclusive Deals,1,Flat Discounts,0,0,0,Delays,2,1
2,1,3,4,0,3,2061,Clothing;Groceries;Home & Kitchen,COD,3,1,2991,1,Exclusive Deals;Recommendations,0,Flat Discounts;Free Delivery,3,0,1,Poor Packaging;Delays;Payment Issues,0,0
1,2,5,2,0,1,1225,Home & Kitchen;Toys,Wallet;COD;Card,3,2,1373,0,Recommendations;Exclusive Deals;Early Access,3,Flat Discounts,1,0,1,Wrong Item,2,3
2,1,5,3,0,1,100,Beauty & Wellness;Home & Kitchen,Card,1,2,314,1,Recommendations,2,Surprise Gifts;Free Delivery;Flat Discounts,1,0,0,Payment Issues,2,3
2,0,0,4,1,3,1677,Groceries;Beauty & Wellness,UPI,1,2,2955,1,Early Access,1,Free Delivery,1,0,1,Payment Issues;Poor Packaging;Delays,1,0
3,0,3,4,1,3,1267,Groceries;Toys,Card;COD,2,2,3039,1,Recommendations;Early Access,3,BOGO;Free Delivery,0,0,1,Poor Packaging;Payment Issues;Delays,1,0
1,0,1,4,2,1,1829,Electronics,COD;UPI;Card,1,2,1999,0,Cashback;Recommendations,2,Free Delivery;BOGO,0,0,1,Payment Issues,1,3
1,0,2,0,0,3,2799,Clothing;Groceries;Electronics,UPI,1,2,4258,1,Early Access;Exclusive Deals;Recommendations,3,Free Delivery,1,1,0,Payment Issues;None;Wrong Item,0,0
0,1,0,0,2,1,2816,Home & Kitchen;Clothing;Toys,Wallet;COD;UPI,0,2,2982,0,Early Access;Exclusive Deals,2,Flat Discounts;BOGO,1,0,0,Payment Issues;Poor Packaging;Wrong Item,1,3
1,1,5,3,2,2,5334,Toys,Card;Wallet;UPI,1,2,6950,0,Early Access,3,BOGO;Free Delivery;Surprise Gifts,1,1,0,Delays;Wrong Item;Poor Packaging,1,2
0,0,4,4,1,1,1104,Groceries;Home & Kitchen,UPI;Wallet;Card,0,0,2877,0,Recommendations;Exclusive Deals;Cashback,2,Flat Discounts;Free Delivery;Surprise Gifts,2,0,1,Payment Issues,0,3
1,1,0,4,1,1,1950,Home & Kitchen;Groceries;Electronics,Wallet;Card,3,2,3827,1,Exclusive Deals;Early Access;Recommendations,2,Free Delivery;BOGO;Flat Discounts,1,0,0,None,2,3
1,1,0,4,0,1,1377,Groceries,Card;COD,0,2,2443,0,Exclusive Deals;Recommendations;Cashback,3,BOGO;Surprise Gifts;Flat Discounts,1,0,1,Delays,1,3
1,1,0,2,0,1,1835,Groceries,UPI,0,2,4163,0,Cashback;Recommendations;Early Access,2,Flat Discounts,3,0,0,Wrong Item;Payment Issues;Poor Packaging,0,3
1,1,0,1,2,3,1203,Groceries,UPI;Card;COD,3,2,3092,0,Cashback;Early Access,2,Flat Discounts,1,0,1,None;Payment Issues;Delays,2,1
